source,title,author,detail_link
project_gutenberg,King Solomon's Mines,H. Rider Haggard,https://www.gutenberg.org/ebooks/2166
project_gutenberg,A Boy's Voyage Round the World,Samuel Smiles,https://www.gutenberg.org/ebooks/24345
project_gutenberg,Alice in Wonderland,Lewis Carroll and Alice Gerstenberg,https://www.gutenberg.org/ebooks/35688
project_gutenberg,Manon Lescaut,abbé Prévost,https://www.gutenberg.org/ebooks/468
project_gutenberg,Little Lucy's Wonderful Globe,Charlotte M. Yonge,https://www.gutenberg.org/ebooks/26487
project_gutenberg,三國志演義 (Chinese),Guanzhong Luo,https://www.gutenberg.org/ebooks/23950
project_gutenberg,The Mabinogion,,https://www.gutenberg.org/ebooks/5160
project_gutenberg,"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",Hildegard G. Frey,https://www.gutenberg.org/ebooks/38983
project_gutenberg,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance",Sir Richard Francis Burton,https://www.gutenberg.org/ebooks/2400
project_gutenberg,Voyages et Aventures Surprenantes de Robinson Crusoé (French),Daniel Defoe,https://www.gutenberg.org/ebooks/24915
project_gutenberg,The Works of Edgar Allan Poe — Volume 3,Edgar Allan Poe,https://www.gutenberg.org/ebooks/2149
project_gutenberg,A Honeymoon in Space,George Chetwynd Griffith,https://www.gutenberg.org/ebooks/19476
project_gutenberg,"The Adventures of Tom Sawyer, Part 1.",Mark Twain,https://www.gutenberg.org/ebooks/7193
project_gutenberg,Tarrano the Conqueror,Ray Cummings,https://www.gutenberg.org/ebooks/21638
project_gutenberg,"The Rover Boys on the Farm; or, Last Days at Putnam Hall",Edward Stratemeyer,https://www.gutenberg.org/ebooks/22163
project_gutenberg,"Winesburg, Ohio",Sherwood Anderson,https://www.gutenberg.org/ebooks/22949
project_gutenberg,Aus dem Leben eines Taugenichts: Novelle (German),Freiherr von Joseph Eichendorff,https://www.gutenberg.org/ebooks/35312
project_gutenberg,The warlord of Mars,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/68
project_gutenberg,The Rock of Chickamauga: A Story of the Western Crisis,Joseph A. Altsheler,https://www.gutenberg.org/ebooks/9745
project_gutenberg,Priscilla's Spies,George A. Birmingham,https://www.gutenberg.org/ebooks/21394
project_gutenberg,The Man Who Would Be King,Rudyard Kipling,https://www.gutenberg.org/ebooks/8147
project_gutenberg,"Weird Tales, Volume 1, Number 4, June, 1923: The unique magazine",Various,https://www.gutenberg.org/ebooks/69608
project_gutenberg,徐霞客遊記 (Chinese),Hongzu Xu,https://www.gutenberg.org/ebooks/23876
project_gutenberg,"Adventures of Huckleberry Finn, Chapters 01 to 05",Mark Twain,https://www.gutenberg.org/ebooks/7100
project_gutenberg,The Man of the Forest,Zane Grey,https://www.gutenberg.org/ebooks/3457
project_gutenberg,The Misplaced Battleship,Harry Harrison,https://www.gutenberg.org/ebooks/22541
project_gutenberg,The Hanging Stranger,Philip K. Dick,https://www.gutenberg.org/ebooks/41562
project_gutenberg,The Box-Car Children,Gertrude Chandler Warner,https://www.gutenberg.org/ebooks/42796
project_gutenberg,Lost Face,Jack London,https://www.gutenberg.org/ebooks/2429
project_gutenberg,The Master Key,L. Frank Baum,https://www.gutenberg.org/ebooks/21526
project_gutenberg,'Midst the Wild Carpathians,Mór Jókai,https://www.gutenberg.org/ebooks/37339
project_gutenberg,"A millionaire at sixteen :  or, The cruise of the Guardian-Mother",Oliver Optic,https://www.gutenberg.org/ebooks/77036
project_gutenberg,The Chessmen of Mars,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/1153
project_gutenberg,Mr. Standfast,John Buchan,https://www.gutenberg.org/ebooks/560
project_gutenberg,The Air Pirate,Guy Thorne,https://www.gutenberg.org/ebooks/40361
project_gutenberg,A Journey into the Interior of the Earth,Jules Verne,https://www.gutenberg.org/ebooks/3748
project_gutenberg,"South: The Story of Shackleton's Last Expedition, 1914-1917",Sir Ernest Henry Shackleton,https://www.gutenberg.org/ebooks/5199
project_gutenberg,It Happened in Egypt,C. N. Williamson and A. M. Williamson,https://www.gutenberg.org/ebooks/9799
project_gutenberg,A Martian Odyssey,Stanley G. Weinbaum,https://www.gutenberg.org/ebooks/23731
project_gutenberg,Studying the short-story,,https://www.gutenberg.org/ebooks/68291
project_gutenberg,The Land That Time Forgot,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/551
project_gutenberg,The Adventures of Fleet Foot and Her Fawns,Allen Chaffee,https://www.gutenberg.org/ebooks/35749
project_gutenberg,Old Greek Stories,James Baldwin,https://www.gutenberg.org/ebooks/11582
project_gutenberg,The Riddle of the Sands,Erskine Childers,https://www.gutenberg.org/ebooks/2360
project_gutenberg,Peter the Brazen: A Mystery Story of Modern China,George F. Worts,https://www.gutenberg.org/ebooks/28780
project_gutenberg,The Story of Doctor Dolittle,Hugh Lofting,https://www.gutenberg.org/ebooks/501
project_gutenberg,She,H. Rider Haggard,https://www.gutenberg.org/ebooks/3155
project_gutenberg,The adventures of Harlequin,Francis Bickley,https://www.gutenberg.org/ebooks/77170
project_gutenberg,"Sindbad the Sailor, & Other Stories from the Arabian Nights",Anonymous,https://www.gutenberg.org/ebooks/47285
project_gutenberg,The World's Greatest Books — Volume 02 — Fiction,,https://www.gutenberg.org/ebooks/10643
project_gutenberg,"White Jacket; Or, The World on a Man-of-War",Herman Melville,https://www.gutenberg.org/ebooks/10712
project_gutenberg,"Golden Days for Boys and Girls, Vol. XIII, Nov. 28, 1891",Various,https://www.gutenberg.org/ebooks/16638
project_gutenberg,The Story Girl,L. M. Montgomery,https://www.gutenberg.org/ebooks/5342
project_gutenberg,The Gentleman: A Romance of the Sea,Alfred Ollivant,https://www.gutenberg.org/ebooks/8396
project_gutenberg,The Swiss Family Robinson; or Adventures in a Desert Island,Johann David Wyss,https://www.gutenberg.org/ebooks/11703
project_gutenberg,The Whelps of the Wolf,George Marsh,https://www.gutenberg.org/ebooks/32465
project_gutenberg,The Battle of the Strong: A Romance of Two Kingdoms — Complete,Gilbert Parker,https://www.gutenberg.org/ebooks/6236
project_gutenberg,Vingt mille Lieues Sous Les Mers — Complete (French),Jules Verne,https://www.gutenberg.org/ebooks/5097
project_gutenberg,The Secret of the Ninth Planet,Donald A. Wollheim,https://www.gutenberg.org/ebooks/33644
project_gutenberg,The Wreck of the Titan,Morgan Robertson,https://www.gutenberg.org/ebooks/24880
project_gutenberg,"The Rover Boys in Business; Or, The Search for the Missing Bonds",Edward Stratemeyer,https://www.gutenberg.org/ebooks/5002
project_gutenberg,The Landloper: The Romance of a Man on Foot,Holman Day,https://www.gutenberg.org/ebooks/4712
project_gutenberg,"St. Nicholas Magazine for Boys and Girls, Vol. 13, May 1886, No. 7.",Various,https://www.gutenberg.org/ebooks/32622
project_gutenberg,Eben Holden: A Tale of the North Country,Irving Bacheller,https://www.gutenberg.org/ebooks/2799
project_gutenberg,The Second Jungle Book,Rudyard Kipling,https://www.gutenberg.org/ebooks/1937
project_gutenberg,The Luck of Roaring Camp and Other Tales,Bret Harte,https://www.gutenberg.org/ebooks/6373
project_gutenberg,The Men of the Moss-Hags,S. R. Crockett,https://www.gutenberg.org/ebooks/32137
project_gutenberg,The Cook's Wedding and Other Stories,Anton Pavlovich Chekhov,https://www.gutenberg.org/ebooks/13417
project_gutenberg,Off on a Comet! a Journey through Planetary Space,Jules Verne,https://www.gutenberg.org/ebooks/1353
project_gutenberg,Aladdin and the Magic Lamp,Unknown,https://www.gutenberg.org/ebooks/57
