id,title,author,publisher,published_date,description,categories,language,page_count,average_rating,ratings_count,thumbnail,source,detail_link,year,metadata_completeness
fbeBDwAAQBAJ,Nonfiction,Андрей Ангелов,Litres,2018-12-30,"Андрей Ангелов публикует отзывы читателей на своё творчество. Третья часть. Отзывы на авторский нон-фикшн, а именно: Виды читателей, Интервью с гением, Фарсократия, Интернет-особи и Азбука 18. Отзывы  фото.",Psychology,ru,15.0,,,http://books.google.com/books/content?id=fbeBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,2018.0,complete
dlvpA43l68YC,"Twentieth-century Poetry, Fiction, Theory","Harry Raphael Garvin, John D. Kirkland",Bucknell University Press,1977,"The issues addressed in this volume include the limits of language and the need for linguistic form, the significance of creating.",Literary Criticism,en,244.0,,,http://books.google.com/books/content?id=dlvpA43l68YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,1977.0,complete
Z3BDAAAAYAAJ,A Century of French Fiction,Benjamin Willis Wells,,1898,,French fiction,en,418.0,,,http://books.google.com/books/content?id=Z3BDAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,,incomplete
kvtCAQAAMAAJ,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",,1894,"A catalog of juvenile and fiction books held by the Peoria Public Library, in one alphabetical listing.",Children's literature,en,210.0,,,http://books.google.com/books/content?id=kvtCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,,incomplete
37FYAAAAMAAJ,A Library of Famous Fiction,,,1873,,English fiction,en,1084.0,,,http://books.google.com/books/content?id=37FYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,,incomplete
wo1VDwAAQBAJ,f63.9 или Луганск 001. non-роман-fiction,Мирослав Палыч,ЛитРес,2018-04-12,"Любовный роман ностальгирует по времени семидесятников. Повествует о непростых человеческих отношениях, о причинах неотвратимостей, что иногда случаются спутниками бескорыстных Чувств, не желающих быть разделенными.",Drama,ru,228.0,,,http://books.google.com/books/content?id=wo1VDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,2018.0,complete
yNEfpTpoNukC,Horror Fiction,Gina Wisker,A&C Black,2005-07-13,"This is a series of introductory books about different types of writing. One strand of the series focuses on genres such asScience Fiction, Horror, Romance, and Crime, and the other focuses on movements or styles often associated with historicaland cultural locationsPostcolonial, Native American, Scottish, Irish, American Gothic.Authors covered in this volume includeWilliam Peter Blatty, Ira Levine, BramStoker, Shirley Jackson, Angela Carter,Mary Shelley, Stephen King, Anne Rice,and Washington Irving.",Literary Criticism,en,308.0,,,http://books.google.com/books/content?id=yNEfpTpoNukC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,2005.0,complete
M71GAQAAMAAJ,ʻTruth is Stranger Than Fiction',Isaac W. Ambler,,1883,,United States,en,394.0,,,http://books.google.com/books/content?id=M71GAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,,incomplete
SAD5EAAAQBAJ,Всемирная библиотека. Non-Fiction. Избранное,Хорхе Луис Борхес,Азбука-Аттикус,2024-03-04,"Хорхе Луис Борхес  один из самых известных писателей ХХ века, во многом определивший облик современной литературы. Большую часть наследия великого аргентинца составляет нехудожественная проза: более тысячи страниц эссе, рецензий, очерков, предисловий, лекций, всевозможных заметок на самые разные темы. Эти произведения (интеллектуальные приключения, по словам автора)  не менее захватывающее чтение, чем художественная проза Борхеса. Подобно Алефу из его знаменитого рассказа  магической точки, из которой видно все, что происходит в мире,  тексты Борхеса стараются охватить всю вселенную: Данте и Шекспира, каббалу и буддизм, историю ангелов и историю танго, загадку времени и фашизм, обзор кинофильмов и биографию Сведенборга В некотором смысле именно здесь проявляется истинный облик писателя, звучит его неповторимый, слегка ироничный голос книгочея и мудреца. В настоящее издание вошли тексты Борхеса, охватывающие всю творческую жизнь автора; читатель найдет здесь, помимо классических, широко известных произведений, немало рецензий, заметок, размышлений и эссе, никогда ранее не выходивших на русском языке. Тексты сопровождаются примечаниями и краткой биографией Борхеса.",Fiction,ru,977.0,,,http://books.google.com/books/content?id=SAD5EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,2024.0,complete
ZKQCAAAAQAAJ,"The hero of the desert; or, Facts more wonderful than fiction. With cancel title-leaf, reading Moses, the hero of the desert",James Spong,,1874,,,en,290.0,,,http://books.google.com/books/content?id=ZKQCAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api,,,incomplete
